,v,v_err,i,i_err,vi,vi_err,x,y
3155,17.917,0.019,17.201,0.007,0.716,0.0202,2955.322,3033.058
3156,17.608,0.012,16.999,0.006,0.609,0.0134,2955.104,3173.392
3157,19.068,0.004,18.33,0.008,0.738,0.0089,2954.002,3334.293
3158,18.181,0.005,17.486,0.005,0.695,0.0071,2961.106,3316.008
3159,19.034,0.009,18.295,0.019,0.739,0.021,2957.805,3379.981
3160,17.832,0.007,17.149,0.002,0.683,0.0073,2961.475,3392.725
3161,19.053,0.007,18.324,0.005,0.729,0.0086,2938.215,3635.528
3162,18.024,0.008,17.342,0.004,0.682,0.0089,2954.411,3715.74
3163,17.885,0.006,17.21,0.005,0.675,0.0078,2948.412,3770.969
3164,17.605,0.003,16.912,0.003,0.693,0.0042,2956.034,3845.917
3165,18.434,0.005,17.698,0.003,0.736,0.0058,2942.226,3945.764
3166,17.238,0.018,16.445,0.0016,0.793,0.0181,2964.505,3121.52
3167,19.376,0.012,18.61,0.011,0.766,0.0163,2966.634,3172.042
3168,18.703,0.007,17.938,0.008,0.765,0.0106,2974.368,3188.789
3169,19.344,0.016,18.594,0.001,0.75,0.016,2987.952,3216.322
3170,18.51,0.01,17.811,0.004,0.699,0.0108,2963.02,3238.041
3171,19.146,0.005,18.314,0.007,0.832,0.0086,2979.595,3387.797
3172,18.048,0.007,17.363,0.003,0.685,0.0076,2987.453,3525.05
3173,15.612,0.0035,14.713,0.0034,0.899,0.0049,2980.701,3539.737
3174,19.059,0.013,18.321,0.004,0.738,0.0136,2984.08,3604.603
3175,19.21,0.006,18.473,0.007,0.737,0.0092,2983.65,3699.525
3176,19.229,0.003,18.498,0.006,0.731,0.0067,2963.903,3912.209
3177,17.621,0.003,16.936,0.001,0.685,0.0032,2963.693,3934.988
3178,19.38,0.028,18.602,0.008,0.778,0.0291,3011.765,3058.714
3179,18.193,0.014,17.502,0.006,0.691,0.0152,2995.599,3124.774
3180,18.17,0.023,17.49,0.003,0.68,0.0232,3011.803,3176.012
3181,17.66,0.001,16.963,0.005,0.697,0.0051,2989.228,3226.552
3182,19.102,0.009,18.322,0.008,0.78,0.012,3008.739,3388.284
3183,17.527,0.003,16.813,0.003,0.714,0.0042,3004.706,3421.684
3184,19.113,0.006,18.406,0.002,0.707,0.0063,3009.556,3444.817
3185,19.375,0.006,18.61,0.006,0.765,0.0085,3012.265,3457.578
3186,19.083,0.009,18.275,0.009,0.808,0.0127,3012.663,3474.773
3187,17.582,0.006,16.869,0.004,0.713,0.0072,2994.356,3653.555
3188,19.256,0.007,18.504,0.005,0.752,0.0086,3004.863,3820.708
3189,19.422,0.002,18.673,0.007,0.749,0.0073,2995.269,3908.754
3190,18.748,0.009,18.032,0.011,0.716,0.0142,3026.459,3022.862
3191,18.641,0.02,17.924,0.007,0.717,0.0212,3013.878,3054.908
3192,18.226,0.027,17.54,0.006,0.686,0.0277,3024.362,3038.354
3194,19.15,0.005,18.389,0.0,0.761,0.005,3021.254,3247.223
3195,19.212,0.004,18.463,0.006,0.749,0.0072,3025.331,3509.527
3196,18.622,0.002,17.926,0.007,0.696,0.0073,3035.115,3524.115
3197,18.704,0.016,18.048,0.004,0.656,0.0165,3015.58,3764.176
3198,18.728,0.009,18.04,0.004,0.688,0.0098,3022.586,3909.572
3199,18.897,0.009,18.171,0.01,0.726,0.0135,3037.126,3904.808
3200,18.25,0.014,17.544,0.008,0.706,0.0161,3038.348,3103.261
3201,19.156,0.017,18.324,0.012,0.832,0.0208,3058.283,3176.456
3202,18.61,0.003,17.903,0.006,0.707,0.0067,3044.534,3292.117
3203,18.298,0.004,17.606,0.005,0.692,0.0064,3038.074,3390.248
