v,vi,i,x,y
19.127101195209384,0.7503483333994085,18.376752861809976,3514.683,970.269
18.915101195209385,0.7303483333994086,18.184752861809976,3530.231,970.653
19.256916478409714,0.7749494378716023,18.481967040538112,3547.615,932.638
18.349530696745163,0.6938216350920084,17.655709061653155,3551.785,968.14
18.751608439726937,0.7165157527005444,18.035092687026392,3709.216,973.382
18.304608439726938,0.6875157527005444,17.617092687026393,3720.663,967.062
16.94659189132243,0.8808302497149282,16.0657616416075,1200.61,1713.974
18.96970464612664,0.775196057604667,18.194508588521973,1196.449,1871.791
19.40970464612664,0.7831960576046668,18.626508588521975,1210.969,1869.844
18.898429537302235,0.7357679119006559,18.16266162540158,1198.385,1918.701
18.805591891322432,0.7348302497149279,18.070761641607504,1216.71,1668.26
17.90759189132243,0.7098302497149281,17.1977616416075,1215.511,1729.39
19.075832601295048,0.7722414716077445,18.3035911296873,1228.735,1836.946
18.294275188308017,0.709715507674259,17.58455968063376,1228.649,1904.552
18.621574485227402,0.7288217188570763,17.892752766370325,1249.779,1604.521
19.36259189132243,0.7728302497149283,18.589761641607502,1244.836,1683.84
19.375832601295052,0.7862414716077444,18.589591129687307,1243.428,1810.262
18.930704646126642,0.7311960576046671,18.199508588521976,1246.334,1931.878
19.12370464612664,0.749196057604667,18.374508588521973,1247.084,1939.01
18.74680055430807,0.7268953279239361,18.019905226384132,1276.701,1537.056
18.470467245204127,0.7301222992396889,17.740344945964438,1305.443,1662.923
18.8508620457165,0.7299212907860317,18.12094075493047,1296.338,1737.163
18.5658620457165,0.7429212907860316,17.822940754930467,1309.126,1720.276
17.871574485227402,0.7378217188570763,17.133752766370325,1331.001,1601.312
18.3828620457165,0.7229212907860317,17.659940754930467,1330.678,1692.384
18.514848925035643,0.7465841851571494,17.768264739878493,1334.239,1718.177
18.83260267186519,0.7331711138542497,18.099431558010938,1371.914,1288.901
18.86342625203191,0.741780433610283,18.121645818421626,1370.722,1783.137
19.13742625203191,0.748780433610283,18.38864581842163,1370.227,1802.625
19.037231665448346,0.7433846001382363,18.29384706531011,1380.408,1984.153
17.713655104542095,0.7465195196724642,16.96713558486963,1412.97,1372.492
18.613491220879716,0.7484639343379895,17.865027286541725,1407.968,1423.159
19.067491220879717,0.7484639343379895,18.319027286541726,1402.562,1658.09
18.88429260462936,0.7324031159339894,18.151889488695367,1394.354,1896.398
18.269593661171772,0.7025026513668865,17.567091009804887,1430.987,1207.252
17.94859366117177,0.7045026513668865,17.244091009804883,1430.054,1238.559
18.57386978126198,0.747922055936249,17.82594772532573,1422.487,1496.953
18.63869601634258,0.7422040726335883,17.89649194370899,1421.117,1803.819
18.98629260462936,0.7444031159339894,18.24188948869537,1429.645,1791.511
19.11273418486897,0.7665431801537412,18.34619100471523,1461.882,1459.224
17.752325197645508,0.7437412711164088,17.0085839265291,1446.24,1489.546
18.7778620457165,0.7299212907860317,18.04794075493047,1453.927,1634.178
17.580392047829093,0.7311053813683086,16.849286666460785,1453.116,1821.25
18.927021255395545,0.7399843952409102,18.187036860154635,1459.96,1893.994
18.908693167415823,0.7845412973448158,18.124151870071007,1440.689,1969.404
18.76204673740008,0.7223283486105583,18.039718388789524,1448.524,1973.939
18.901355623583367,0.7854259570284954,18.115929666554873,1470.002,1054.484
18.7008620457165,0.7379212907860317,17.96294075493047,1466.847,1548.905
19.125862045716502,0.7859212907860316,18.33994075493047,1485.744,1597.389
18.003854189879878,0.7065850338455331,17.297269156034346,1476.414,1642.343
18.450286366860148,0.718400126936998,17.73188623992315,1471.641,1768.753
18.84375636214121,0.7608923859163816,18.08286397622483,1505.288,1001.753
18.273468927975493,0.7154610358883288,17.558007892087165,1489.255,1324.906
19.07393479728844,0.7619464711788495,18.311988326109592,1489.168,1703.875
18.585234859360504,0.7213947442714352,17.86384011508907,1504.934,1893.675
19.01075636214121,0.7628923859163818,18.247863976224828,1525.48,998.345
19.230468927975494,0.7644610358883286,18.466007892087166,1528.323,1314.433
18.425594182703502,0.7141691894176463,17.711424993285856,1519.651,1766.205
18.182767349808845,0.7169060381795287,17.465861311629318,1536.222,1934.387
18.88200922998912,0.7389758438683622,18.143033386120756,1558.416,1133.855
17.252596158887027,0.7985034846944911,16.454092674192534,1547.739,1161.643
