,v,v_err,i,i_err,vi,vi_err,x,y
361,20.103,0.027,19.479,0.009,0.624,0.0285,625.681,1703.767
362,19.847,0.0,19.252,0.006,0.595,0.006,614.158,1738.117
363,19.977,0.005,19.373,0.015,0.604,0.0158,615.598,1759.602
364,19.953,0.005,19.319,0.034,0.634,0.0344,628.964,1767.642
365,19.741,0.015,19.151,0.01,0.59,0.018,634.605,1908.605
366,19.123,0.006,18.564,0.004,0.559,0.0072,634.725,1941.35
370,18.682,0.0028,18.148,0.003,0.534,0.0041,668.15,1589.894
373,18.654,0.004,18.112,0.007,0.542,0.0081,712.834,1682.383
375,18.938,0.007,18.345,0.008,0.593,0.0106,704.129,1939.484
376,19.056,0.012,18.498,0.01,0.558,0.0156,691.65,1967.281
377,19.372,0.012,18.802,0.011,0.57,0.0163,722.72,1769.16
379,19.734,0.01,19.144,0.014,0.59,0.0172,747.334,1714.249
381,20.035,0.016,19.426,0.012,0.609,0.02,752.449,1819.927
382,19.25,0.009,18.698,0.006,0.552,0.0108,753.026,1906.052
383,19.413,0.002,18.855,0.004,0.558,0.0045,785.097,1580.078
384,19.714,0.013,19.125,0.039,0.589,0.0411,771.76,1602.524
387,18.989,0.003,18.445,0.008,0.544,0.0085,791.191,1769.086
388,19.896,0.003,19.301,0.005,0.595,0.0058,808.924,1783.65
389,20.139,0.005,19.506,0.01,0.633,0.0112,806.258,1970.021
393,20.104,0.0054,19.467,0.0056,0.637,0.0078,860.849,1458.505
395,17.988,0.002,17.315,0.0021,0.673,0.0029,855.848,1530.169
396,19.957,0.012,19.356,0.019,0.601,0.0225,848.769,1620.648
398,19.345,0.0038,18.778,0.0159,0.567,0.0163,887.352,1487.923
400,18.863,0.002,18.312,0.008,0.551,0.0082,865.515,1611.125
401,19.769,0.025,19.159,0.015,0.61,0.0292,887.912,1705.848
404,19.63,0.01,19.052,0.006,0.578,0.0117,875.827,1851.111
405,20.076,0.016,19.444,0.007,0.632,0.0175,869.655,1924.159
411,19.859,0.0048,19.253,0.0051,0.606,0.007,914.156,1491.697
414,19.963,0.002,19.357,0.001,0.606,0.0022,919.308,1780.462
416,19.687,0.008,19.108,0.012,0.579,0.0144,929.18,1813.641
417,19.264,0.006,18.698,0.007,0.566,0.0092,931.83,1933.443
420,19.372,0.007,18.811,0.007,0.561,0.0099,962.366,1709.068
422,19.339,0.004,18.773,0.005,0.566,0.0064,949.47,1969.699
423,19.856,0.014,19.255,0.005,0.601,0.0149,980.358,1863.106
424,19.597,0.0043,19.008,0.0045,0.589,0.0062,1005.447,1429.979
425,19.878,0.01,19.276,0.005,0.602,0.0112,994.869,1588.957
429,19.515,0.0041,18.937,0.0044,0.578,0.006,1025.721,1405.732
430,18.982,0.003,18.43,0.007,0.552,0.0076,1036.042,1711.566
431,19.467,0.008,18.884,0.0,0.583,0.008,1061.961,1515.424
432,19.886,0.0049,19.264,0.002,0.622,0.0053,1053.537,1540.399
434,16.447,0.0037,15.7,0.0038,0.747,0.0053,1061.979,1708.183
436,19.1,0.017,18.542,0.005,0.558,0.0177,1062.609,1837.542
437,19.344,0.007,18.794,0.001,0.55,0.0071,1039.625,1849.545
447,18.181,0.003,17.582,0.008,0.599,0.0085,1102.85,1757.509
448,20.066,0.004,19.441,0.009,0.625,0.0098,1110.677,1745.099
450,19.66,0.004,19.073,0.014,0.587,0.0146,1125.177,1486.246
451,20.019,0.008,19.388,0.006,0.631,0.01,1136.609,1564.496
452,18.542,0.009,17.997,0.007,0.545,0.0114,1130.2,1786.889
454,20.024,0.01,19.397,0.006,0.627,0.0117,1135.933,1837.469
456,19.87,0.0048,19.245,0.0051,0.625,0.007,1145.197,1370.219
457,19.926,0.005,19.309,0.0052,0.617,0.0072,1161.625,1372.736
459,19.851,0.0,19.254,0.008,0.597,0.008,1162.122,1518.353
461,18.96,0.007,18.42,0.002,0.54,0.0073,1162.701,1875.148
462,20.056,0.009,19.435,0.011,0.621,0.0142,1156.948,1902.774
466,19.764,0.009,19.174,0.01,0.59,0.0135,1180.549,1618.684
467,20.146,0.009,19.527,0.008,0.619,0.012,1186.818,1739.861
469,19.184,0.011,18.668,0.006,0.516,0.0125,1173.392,1827.344
470,20.041,0.003,19.406,0.006,0.635,0.0067,1188.38,1619.262
473,20.077,0.007,19.452,0.008,0.625,0.0106,1199.547,1949.97
474,19.76,0.001,19.149,0.005,0.611,0.0051,1228.422,1419.765
476,19.351,0.004,18.782,0.004,0.569,0.0057,1216.256,1757.143
477,18.663,0.006,18.117,0.004,0.546,0.0072,1216.9,1845.606
480,19.106,0.002,18.547,0.007,0.559,0.0073,1214.48,1911.14
482,19.453,0.004,18.883,0.005,0.57,0.0064,1236.889,1944.36
483,18.991,0.0032,18.434,0.0035,0.557,0.0048,1243.631,1358.009
485,19.841,0.0048,19.227,0.0051,0.614,0.007,1259.956,1344.217
487,19.958,0.019,19.356,0.001,0.602,0.019,1248.366,1441.442
489,19.193,0.005,18.649,0.003,0.544,0.0058,1241.712,1646.558
495,20.168,0.0056,19.536,0.0058,0.632,0.0081,1300.383,1357.515
496,18.728,0.001,18.134,0.002,0.594,0.0022,1305.038,1439.729
497,20.02,0.005,19.399,0.008,0.621,0.0094,1304.847,1565.238
502,19.639,0.006,19.013,0.009,0.626,0.0108,1328.511,1528.432
506,18.127,0.0022,17.491,0.0023,0.636,0.0031,1340.922,1367.633
507,19.419,0.0039,18.868,0.0043,0.551,0.0058,1354.163,1374.087
508,19.177,0.004,18.616,0.01,0.561,0.0108,1359.21,1406.729
509,19.225,0.014,18.669,0.006,0.556,0.0152,1354.627,1502.922
510,18.378,0.003,17.816,0.004,0.562,0.005,1361.632,1498.198
511,18.684,0.006,18.141,0.006,0.543,0.0085,1346.827,1601.537
512,19.107,0.005,18.55,0.007,0.557,0.0086,1356.05,1600.535
514,19.698,0.011,19.105,0.002,0.593,0.0112,1356.61,1760.106
515,18.753,0.0029,18.22,0.0032,0.533,0.0043,1372.487,1318.246
516,20.156,0.005,19.524,0.006,0.632,0.0078,1377.497,1628.979
517,19.826,0.006,19.217,0.005,0.609,0.0078,1381.774,1655.109
518,19.417,0.01,18.845,0.005,0.572,0.0112,1372.329,1664.207
520,17.144,0.0051,16.429,0.0054,0.715,0.0074,1377.761,1841.592
521,20.077,0.007,19.445,0.002,0.632,0.0073,1367.652,1874.417
524,19.86,0.01,19.248,0.003,0.612,0.0104,1381.085,1967.277
528,19.182,0.012,18.625,0.001,0.557,0.012,1403.614,1469.117
532,19.835,0.002,19.239,0.011,0.596,0.0112,1394.463,1792.06
533,19.695,0.016,19.104,0.005,0.591,0.0168,1404.959,1821.96
534,18.635,0.007,18.085,0.002,0.55,0.0073,1407.961,1978.269
535,18.42,0.0,17.853,0.001,0.567,0.001,1432.06,1376.876
538,20.127,0.012,19.496,0.003,0.631,0.0124,1416.175,1645.551
540,18.921,0.003,18.369,0.003,0.552,0.0042,1419.248,1814.226
541,19.589,0.004,19.0,0.001,0.589,0.0041,1413.062,1907.184
542,19.749,0.01,19.156,0.004,0.593,0.0108,1426.27,1940.256
543,20.006,0.013,19.38,0.005,0.626,0.0139,1416.174,1967.609
544,20.03,0.012,19.398,0.012,0.632,0.017,1462.653,1468.598
545,20.185,0.01,19.536,0.012,0.649,0.0156,1440.568,1520.229
547,19.709,0.005,19.116,0.006,0.593,0.0078,1462.32,1575.74
549,18.233,0.005,17.64,0.01,0.593,0.0112,1444.066,1815.525
553,19.201,0.0036,18.637,0.0039,0.564,0.0053,1466.434,1328.753
557,19.089,0.007,18.535,0.003,0.554,0.0076,1486.089,1613.541
559,19.98,0.007,19.371,0.005,0.609,0.0086,1476.672,1969.496
560,18.172,0.005,17.568,0.004,0.604,0.0064,1503.162,1621.599
561,19.069,0.006,18.507,0.006,0.562,0.0085,1493.238,1794.533
562,16.913,0.0046,16.203,0.0049,0.71,0.0067,1509.472,1919.791
563,18.64,0.01,18.098,0.005,0.542,0.0112,1511.672,1951.055
565,19.395,0.003,18.826,0.006,0.569,0.0067,1521.705,1517.632
568,19.554,0.007,18.986,0.007,0.568,0.0099,1526.096,1665.447
571,19.707,0.012,19.105,0.005,0.602,0.013,1514.146,1806.8
572,19.382,0.019,18.77,0.008,0.612,0.0206,1514.968,1929.604
574,19.727,0.013,19.133,0.009,0.594,0.0158,1550.887,1363.581
576,18.698,0.007,18.151,0.007,0.547,0.0099,1542.368,1647.974
578,18.728,0.008,18.158,0.003,0.57,0.0085,1541.708,1888.942
581,19.423,0.004,18.856,0.0043,0.567,0.0058,1577.562,1218.611
582,18.748,0.0029,18.214,0.0032,0.534,0.0043,1566.455,1250.623
583,19.49,0.0041,18.903,0.0044,0.587,0.006,1563.545,1310.525
584,19.753,0.011,19.156,0.004,0.597,0.0117,1566.385,1403.442
585,18.451,0.009,17.957,0.002,0.494,0.0092,1564.495,1480.837
586,19.324,0.004,18.754,0.006,0.57,0.0072,1574.063,1619.142
587,18.819,0.007,18.274,0.004,0.545,0.0081,1566.32,1693.746
590,19.972,0.01,19.352,0.005,0.62,0.0112,1600.38,1648.368
592,19.246,0.006,18.684,0.015,0.562,0.0162,1603.752,1772.844
593,19.271,0.013,18.651,0.007,0.62,0.0148,1590.04,1823.626
594,18.556,0.006,18.007,0.003,0.549,0.0067,1598.276,1902.152
595,17.792,0.0019,17.101,0.0019,0.691,0.0027,1626.053,1205.673
600,16.414,0.0036,15.666,0.0038,0.748,0.0053,1634.276,1902.05
601,19.886,0.006,19.291,0.01,0.595,0.0117,1613.045,1907.58
602,19.482,0.008,18.898,0.007,0.584,0.0106,1635.143,1964.877
604,16.972,0.0047,16.263,0.005,0.709,0.0069,1661.988,1322.209
605,19.397,0.005,18.833,0.028,0.564,0.0284,1652.964,1327.519
606,19.125,0.018,18.573,0.005,0.552,0.0187,1645.422,1403.672
607,19.486,0.003,18.92,0.001,0.566,0.0032,1656.306,1394.756
608,19.801,0.007,19.203,0.014,0.598,0.0157,1639.162,1825.319
613,17.266,0.0054,16.551,0.0058,0.715,0.0079,1663.326,1319.875
616,19.987,0.004,19.355,0.009,0.632,0.0098,1682.629,1316.993
617,19.212,0.003,18.66,0.014,0.552,0.0143,1686.423,1334.258
619,19.622,0.007,19.036,0.006,0.586,0.0092,1672.024,1391.873
621,17.877,0.008,17.197,0.004,0.68,0.0089,1665.859,1445.648
623,19.411,0.014,18.859,0.009,0.552,0.0166,1674.906,1566.253
624,18.282,0.011,17.689,0.004,0.593,0.0117,1670.093,1746.393
625,19.925,0.011,19.322,0.003,0.603,0.0114,1676.876,1843.394
626,19.019,0.0033,18.477,0.0036,0.542,0.0049,1698.438,1243.282
629,20.093,0.004,19.463,0.005,0.63,0.0064,1691.103,1588.415
630,19.019,0.006,18.472,0.004,0.547,0.0072,1707.667,1822.464
631,18.658,0.007,18.11,0.006,0.548,0.0092,1709.512,1839.471
634,20.09,0.011,19.397,0.007,0.693,0.013,1734.72,1600.822
635,17.505,0.0016,16.805,0.005,0.7,0.0053,1722.451,1627.75
637,19.922,0.002,19.306,0.005,0.616,0.0054,1737.555,1731.04
638,19.084,0.005,18.547,0.006,0.537,0.0078,1733.815,1754.128
640,18.674,0.009,18.127,0.005,0.547,0.0103,1720.377,1833.891
642,16.495,0.0038,15.762,0.004,0.733,0.0055,1755.969,1231.505
643,18.672,0.0028,18.111,0.002,0.561,0.0035,1750.864,1287.176
644,19.635,0.018,19.05,0.005,0.585,0.0187,1745.752,1383.35
646,18.957,0.006,18.413,0.002,0.544,0.0063,1739.777,1497.696
648,20.018,0.008,19.399,0.004,0.619,0.0089,1739.099,1706.137
649,19.811,0.005,19.203,0.005,0.608,0.0071,1757.093,1696.544
654,18.245,0.006,17.67,0.002,0.575,0.0063,1742.604,1905.49
656,18.287,0.007,17.718,0.005,0.569,0.0086,1759.384,1919.603
661,19.662,0.009,19.07,0.008,0.592,0.012,1764.709,1737.83
666,19.194,0.018,18.616,0.009,0.578,0.0201,1801.445,1321.835
667,19.688,0.006,19.091,0.002,0.597,0.0063,1802.938,1472.671
671,18.972,0.011,18.422,0.006,0.55,0.0125,1789.651,1935.952
