,v,v_err,i,i_err,vi,vi_err,x,y,Vbin,Ibin
1557,18.949,0.006,18.33,0.007,0.619,0.0092,1258.814,2978.229,78,78
1558,18.702,0.007,18.109,0.004,0.593,0.0081,1277.005,2016.177,69,79
1559,18.853,0.004,18.25,0.002,0.603,0.0045,1287.274,2047.166,79,79
1560,18.529,0.004,17.958,0.003,0.571,0.005,1275.993,2139.855,69,69
1561,18.43,0.002,17.862,0.012,0.568,0.0122,1269.549,2192.17,69,69
1562,18.871,0.007,18.261,0.007,0.61,0.0099,1308.667,2183.3,79,79
1563,18.286,0.004,17.733,0.005,0.553,0.0064,1290.47,2244.258,69,69
1564,18.174,0.005,17.622,0.006,0.552,0.0078,1306.861,2499.803,68,68
1565,17.355,0.005,16.774,0.006,0.581,0.0078,1300.739,2696.304,48,48
1566,19.196,0.007,18.566,0.01,0.63,0.0122,1293.118,2791.929,78,78
1567,18.202,0.002,17.646,0.003,0.556,0.0036,1290.098,2951.782,68,68
1568,18.979,0.012,18.377,0.007,0.602,0.0139,1331.231,2197.358,79,79
1569,19.222,0.001,18.582,0.003,0.64,0.0032,1334.098,2378.708,78,78
1570,18.848,0.003,18.247,0.004,0.601,0.005,1326.403,2482.515,78,78
1571,19.046,0.009,18.434,0.008,0.612,0.012,1335.398,2637.692,78,78
1572,17.794,0.004,17.246,0.005,0.548,0.0064,1319.63,2712.355,58,58
1573,18.005,0.005,17.46,0.007,0.545,0.0086,1321.785,2701.257,58,58
1574,18.295,0.007,17.733,0.005,0.562,0.0086,1314.692,2767.341,68,68
1575,18.225,0.012,17.662,0.016,0.563,0.02,1335.721,2783.246,68,68
1576,19.149,0.012,18.543,0.019,0.606,0.0225,1336.029,2781.62,78,78
1577,17.866,0.003,17.319,0.008,0.547,0.0085,1318.723,2809.922,58,58
1578,18.831,0.008,18.241,0.019,0.59,0.0206,1347.738,2100.101,79,79
1579,18.131,0.006,17.581,0.004,0.55,0.0072,1351.253,2094.184,69,69
1580,18.302,0.006,17.745,0.006,0.557,0.0085,1356.935,2239.619,68,68
1581,18.311,0.002,17.729,0.008,0.582,0.0082,1362.285,2356.865,68,68
1582,18.238,0.01,17.689,0.01,0.549,0.0141,1387.562,2207.065,68,68
1583,18.665,0.005,18.093,0.004,0.572,0.0064,1365.096,2276.898,68,68
1584,18.456,0.004,17.889,0.004,0.567,0.0057,1367.517,2319.766,68,68
1585,19.02,0.001,18.402,0.008,0.618,0.0081,1368.361,2370.691,78,78
1586,19.267,0.01,18.636,0.012,0.631,0.0156,1366.003,2427.67,78,78
1587,18.141,0.007,17.588,0.007,0.553,0.0099,1383.963,2492.032,68,68
1588,18.356,0.003,17.79,0.005,0.566,0.0058,1386.368,2740.3,67,67
1589,19.001,0.011,18.392,0.005,0.609,0.0121,1386.529,2812.463,77,77
1590,18.904,0.005,18.298,0.012,0.606,0.013,1366.759,2979.055,77,77
1591,16.279,0.0055,15.543,0.0059,0.736,0.0081,1406.209,2006.25,29,29
1592,19.128,0.012,18.506,0.007,0.622,0.0139,1395.641,2086.677,79,79
1593,18.849,0.005,18.254,0.001,0.595,0.0051,1408.935,2085.907,78,78
1594,19.021,0.004,18.407,0.002,0.614,0.0045,1401.067,2103.831,78,78
1595,18.016,0.011,17.477,0.003,0.539,0.0114,1388.681,2198.735,58,58
1596,18.794,0.005,18.206,0.009,0.588,0.0103,1412.41,2193.587,78,78
1597,18.866,0.005,18.272,0.002,0.594,0.0054,1412.167,2390.012,78,78
1598,18.681,0.004,18.092,0.006,0.589,0.0072,1406.21,2635.82,67,67
1599,18.316,0.006,17.751,0.004,0.565,0.0072,1412.335,2717.38,67,67
1600,18.121,0.004,17.573,0.001,0.548,0.0041,1398.256,2786.528,57,67
1601,18.02,0.005,17.471,0.004,0.549,0.0064,1399.794,2780.35,57,57
1602,18.819,0.004,18.223,0.005,0.596,0.0064,1404.683,2904.033,77,77
1603,18.097,0.005,17.538,0.002,0.559,0.0054,1434.896,1989.115,59,69
1604,18.494,0.005,17.928,0.005,0.566,0.0071,1417.143,2349.527,68,68
1605,17.83,0.003,17.285,0.003,0.545,0.0042,1417.337,2395.157,58,58
1606,18.947,0.006,18.354,0.009,0.593,0.0108,1421.511,2447.721,78,78
1607,15.784,0.0044,15.052,0.0047,0.732,0.0064,1432.263,2488.384,18,18
1608,18.841,0.007,18.256,0.008,0.585,0.0106,1413.454,2555.983,78,78
1609,19.172,0.002,18.549,0.009,0.623,0.0092,1435.792,2590.43,77,77
1610,19.215,0.009,18.587,0.011,0.628,0.0142,1420.423,2626.544,77,77
1611,18.537,0.004,17.957,0.006,0.58,0.0072,1421.55,2911.901,67,67
1612,18.271,0.007,17.712,0.007,0.559,0.0099,1436.365,2980.876,67,67
1613,15.794,0.0044,15.059,0.0047,0.735,0.0064,1445.24,2208.123,18,18
1614,18.855,0.005,18.255,0.006,0.6,0.0078,1454.098,2327.326,78,78
1615,18.194,0.005,17.637,0.003,0.557,0.0058,1458.184,2364.33,68,68
1616,17.814,0.002,17.265,0.004,0.549,0.0045,1445.457,2443.531,58,58
1617,17.454,0.002,16.891,0.001,0.563,0.0022,1458.584,2438.306,47,47
1618,18.577,0.005,18.002,0.008,0.575,0.0094,1446.517,2532.792,67,67
1619,16.798,0.0016,16.109,0.0017,0.689,0.0023,1444.818,2552.67,37,37
