,v,v_err,i,i_err,vi,vi_err,x,y
8376,17.439,0.006,16.878,0.014,0.5588559072396395,0.0152,2876.716,3665.735
8377,17.151,0.006,16.532,0.008,0.6168559072396393,0.01,2880.832,3673.227
8378,19.008,0.006,18.416,0.006,0.5903007817932021,0.0085,2886.725,3766.73
8379,18.944,0.01,18.35,0.009,0.5939307357399962,0.0135,2869.441,3847.604
8383,19.107,0.006,18.493,0.011,0.6119777214451955,0.0125,2901.904,3044.974
8384,19.261,0.011,18.631,0.005,0.6277604843164875,0.0121,2912.108,3083.756
8387,18.82,0.018,18.233,0.014,0.584976878215464,0.0228,2901.577,3323.916
8388,17.901,0.016,17.363,0.009,0.535976878215464,0.0184,2904.487,3324.541
8389,19.261,0.028,18.647,0.024,0.611976878215464,0.0369,2909.967,3333.846
8393,17.859,0.019,17.326,0.005,0.5313729825334275,0.0196,2906.978,3463.25
8395,17.753,0.01,17.216,0.01,0.5359957198484195,0.0141,2893.925,3534.282
8401,19.226,0.007,18.604,0.005,0.6203007817932021,0.0086,2912.185,3725.742
8402,18.602,0.006,18.035,0.011,0.5649236361383705,0.0125,2894.437,3767.224
8403,19.193,0.012,18.59,0.009,0.6027066454835843,0.015,2898.83,3790.742
8410,19.25,0.01,18.631,0.004,0.6158552410481866,0.0108,2924.917,3106.386
8414,18.765,0.003,18.188,0.01,0.5729343533406135,0.0104,2936.13,3223.982
8416,19.232,0.042,18.615,0.004,0.6153232611864361,0.0422,2926.147,3358.023
8417,19.056,0.003,18.452,0.016,0.6013166244650914,0.0163,2929.213,3345.757
8418,18.599,0.008,18.038,0.01,0.5586553084151011,0.0128,2937.589,3349.991
8420,16.496,0.0059,15.743,0.0063,0.7513729825334274,0.0086,2913.946,3531.048
8421,18.718,0.003,18.134,0.016,0.5827934943110458,0.0163,2922.78,3534.795
8423,17.601,0.012,17.059,0.006,0.5396189556846396,0.0134,2930.425,3649.309
8424,17.273,0.003,16.692,0.007,0.5799875260665299,0.0076,2927.58,3677.24
8425,18.523,0.004,17.962,0.006,0.5607066454835844,0.0072,2924.419,3809.761
8426,18.035,0.006,17.496,0.006,0.5394489355418435,0.0085,2917.586,3835.214
8427,17.725,0.002,17.186,0.009,0.5394489355418435,0.0092,2916.049,3841.836
8430,18.893,0.005,18.303,0.008,0.5905555356318475,0.0094,2920.59,3875.294
8432,18.391,0.007,17.834,0.009,0.5574489355418435,0.0114,2929.695,3921.44
8433,18.513,0.009,17.936,0.008,0.5776555020950489,0.012,2933.785,3935.82
8434,17.131,0.011,16.509,0.009,0.622215404612098,0.0142,2922.186,3965.818
8437,17.06,0.002,16.414,0.007,0.6424611461282557,0.0073,2949.013,3035.53
8438,17.703,0.007,17.16,0.005,0.5391187064348569,0.0086,2949.467,3048.926
8439,18.961,0.005,18.368,0.01,0.5894611461282556,0.0112,2960.859,3060.884
8440,19.249,0.012,18.632,0.02,0.6137889035577052,0.0233,2940.415,3122.121
8441,19.233,0.01,18.607,0.021,0.6227889035577052,0.0233,2943.313,3128.903
8442,19.115,0.004,18.5,0.022,0.6114176814606089,0.0224,2942.091,3166.126
8443,16.821,0.025,16.136,0.0016,0.6811402118612394,0.0251,2946.256,3170.398
8446,19.064,0.015,18.462,0.011,0.5984176814606089,0.0186,2947.447,3206.496
8447,17.842,0.005,17.302,0.009,0.5366602922584817,0.0103,2962.005,3206.823
8448,18.711,0.003,18.137,0.01,0.5699343533406134,0.0104,2945.505,3219.701
8450,18.562,0.007,17.992,0.015,0.5666602922584816,0.0166,2945.821,3262.49
8451,17.881,0.011,17.341,0.01,0.5361402118612394,0.0149,2956.643,3251.759
8453,18.598,0.004,18.033,0.022,0.5626096374049963,0.0224,2942.238,3320.553
8454,17.781,0.006,17.238,0.006,0.5400082493974446,0.0085,2962.755,3318.021
8456,18.865,0.001,18.274,0.014,0.588655308415101,0.014,2939.0,3403.127
8460,16.925,0.007,16.244,0.006,0.6774523947261302,0.0092,2955.628,3524.701
8461,18.701,0.006,18.125,0.012,0.5740727405354786,0.0134,2957.424,3628.431
8466,17.934,0.009,17.396,0.012,0.5391137855132977,0.015,2953.716,3970.053
8468,18.742,0.012,18.15,0.012,0.5882047704717615,0.017,2982.942,3097.489
8469,18.5,0.007,17.922,0.013,0.5742047704717614,0.0148,2984.852,3101.447
8470,19.24,0.005,18.605,0.003,0.6312038530664338,0.0058,2968.565,3126.687
8472,18.722,0.018,18.133,0.013,0.5851402118612393,0.0222,2969.117,3198.339
8476,18.814,0.019,18.178,0.019,0.6326602922584816,0.0269,2975.012,3239.391
8478,17.768,0.008,17.227,0.008,0.5390265995624554,0.0113,2975.995,3302.863
8481,17.843,0.044,17.331,0.005,0.509005161223338,0.0443,2981.799,3401.427
8482,18.386,0.004,17.828,0.019,0.5535542877032775,0.0194,2966.46,3456.807
8483,16.169,0.04,15.42,0.039,0.7428606536610767,0.0559,2976.3,3455.318
8485,18.183,0.013,17.629,0.006,0.5500324283203457,0.0143,2984.792,3531.067
8487,18.2,0.006,17.653,0.01,0.5452059104143259,0.0117,2966.765,3574.884
8491,18.034,0.013,17.494,0.004,0.5405630976318286,0.0136,2985.655,3856.335
8494,16.097,0.0049,15.352,0.0053,0.7424388837685102,0.0072,3006.997,3025.654
8496,18.72,0.009,18.142,0.003,0.5749126747450941,0.0095,2997.074,3057.968
8502,18.033,0.004,17.482,0.014,0.5476602922584817,0.0146,2998.765,3266.965
8504,18.406,0.013,17.844,0.017,0.5594773534476424,0.0214,3000.191,3289.589
8505,17.693,0.009,17.148,0.007,0.5424773534476424,0.0114,3004.672,3293.796
8508,17.743,0.004,17.205,0.01,0.5337765980851257,0.0108,2996.277,3389.642
8509,18.354,0.004,17.789,0.001,0.5588606536610766,0.0041,2996.792,3462.251
8511,17.775,0.007,17.237,0.008,0.5314133470567103,0.0106,3000.326,3512.604
8512,18.009,0.003,17.46,0.025,0.5436921572791211,0.0252,2990.813,3513.594
8514,17.964,0.004,17.384,0.008,0.5807695624191618,0.0089,3003.451,3731.727
8515,17.576,0.002,17.021,0.008,0.5560846941008025,0.0082,3010.82,3734.237
8518,18.787,0.019,18.22,0.024,0.56766306409503,0.0306,2992.845,3850.0
8519,17.948,0.004,17.409,0.003,0.5395630976318286,0.005,2993.802,3854.938
8521,18.593,0.016,18.039,0.013,0.5534448940791169,0.0206,3023.012,2996.453
8522,18.77,0.01,18.183,0.002,0.5844388837685102,0.0102,3021.429,3029.785
8523,17.594,0.001,17.042,0.002,0.5472265267868408,0.0022,3014.609,3115.583
8524,19.052,0.009,18.44,0.006,0.6089045269783027,0.0108,3015.418,3192.642
8525,18.621,0.009,18.046,0.004,0.571775915679079,0.0098,3015.767,3281.591
8526,18.118,0.008,17.574,0.007,0.54040376609619,0.0106,3023.638,3263.2
8527,19.072,0.006,18.462,0.022,0.6074773534476423,0.0228,3028.122,3299.199
8528,17.164,0.003,16.542,0.009,0.6200265995624553,0.0095,3032.148,3307.963
8529,17.151,0.004,16.53,0.006,0.6181355813235261,0.0072,3021.575,3334.983
8530,18.742,0.021,18.166,0.018,0.5727620003146601,0.0277,3027.405,3330.568
8531,17.264,0.011,16.675,0.007,0.5838326927235429,0.013,3018.567,3408.282
8533,17.505,0.006,16.949,0.01,0.5486337343335617,0.0117,3031.312,3457.521
8535,18.272,0.005,17.724,0.008,0.5460727405354788,0.0094,3015.328,3656.263
8536,18.613,0.009,18.045,0.01,0.5660727405354786,0.0135,3014.272,3664.146
8538,17.306,0.006,16.734,0.008,0.5727695624191618,0.01,3022.221,3805.743
8540,17.606,0.005,17.063,0.005,0.5444641400129646,0.0071,3034.486,3907.715
8541,18.699,0.007,18.122,0.012,0.5784641400129645,0.0139,3019.059,3926.942
8545,17.859,0.01,17.308,0.007,0.5500492047230126,0.0122,3047.536,3028.729
8547,18.857,0.014,18.266,0.013,0.5902014944036287,0.0191,3051.725,3041.093
8550,18.692,0.002,18.114,0.005,0.5741038948831159,0.0054,3045.552,3243.509
8553,18.941,0.016,18.314,0.002,0.6245593435379911,0.0161,3047.242,3283.39
8558,19.004,0.005,18.378,0.016,0.6212018216767754,0.0168,3054.798,3376.832
8560,17.005,0.005,16.334,0.013,0.6661220196288948,0.0139,3046.049,3407.213
8561,17.542,0.011,16.985,0.015,0.5517545041211769,0.0186,3053.413,3413.475
8563,18.177,0.006,17.621,0.011,0.5498606536610767,0.0125,3042.7,3467.737
8565,17.969,0.014,17.417,0.009,0.5454133470567103,0.0166,3045.753,3492.279
8570,18.988,0.002,18.323,0.012,0.6625386424244373,0.0122,3044.426,3595.5
8572,18.425,0.004,17.868,0.003,0.5586475267464479,0.005,3042.769,3762.047
