v,v_err,i,i_err,vi,vi_err,x,y
17.08,0.008,16.496,0.005,0.584,0.0094,1251.44,1510.807
17.082,0.004,16.431,0.004,0.651,0.0057,1250.188,1605.253
19.014,0.005,18.406,0.007,0.608,0.0086,1259.046,1688.292
19.194,0.007,18.57,0.009,0.624,0.0114,1253.253,1782.538
17.971,0.007,17.416,0.001,0.555,0.0071,1260.559,1797.729
18.394,0.001,17.828,0.002,0.566,0.0022,1257.052,1921.811
19.253,0.0051,18.629,0.0054,0.624,0.0074,1267.205,1219.304
18.91,0.007,18.306,0.004,0.604,0.0081,1269.124,1577.587
19.15,0.01,18.522,0.003,0.628,0.0104,1267.615,1826.974
18.836,0.014,18.233,0.01,0.603,0.0172,1307.357,1283.766
18.962,0.005,18.362,0.009,0.6,0.0103,1308.352,1481.338
18.618,0.006,18.042,0.002,0.576,0.0063,1312.329,1524.34
18.475,0.003,17.903,0.003,0.572,0.0042,1303.542,1600.165
17.831,0.005,17.284,0.003,0.547,0.0058,1332.05,1388.318
17.787,0.008,17.231,0.004,0.556,0.0089,1326.093,1624.393
19.069,0.002,18.455,0.008,0.614,0.0082,1334.102,1679.545
16.908,0.0017,16.219,0.001,0.689,0.002,1317.584,1773.398
18.612,0.0038,18.008,0.0041,0.604,0.0056,1349.111,1132.051
19.151,0.0049,18.541,0.0052,0.61,0.0071,1340.149,1135.384
19.067,0.0047,18.46,0.005,0.607,0.0069,1342.724,1172.915
19.094,0.027,18.473,0.003,0.621,0.0272,1353.497,1213.19
17.631,0.003,17.077,0.005,0.554,0.0058,1345.544,1335.825
17.711,0.003,17.155,0.004,0.556,0.005,1340.813,1375.525
18.908,0.005,18.311,0.004,0.597,0.0064,1349.695,1375.001
15.895,0.0046,15.155,0.005,0.74,0.0068,1349.949,1416.743
16.386,0.0058,15.675,0.0063,0.711,0.0086,1357.877,1477.169
19.215,0.004,18.586,0.003,0.629,0.005,1347.435,1671.599
18.144,0.011,17.583,0.003,0.561,0.0114,1382.651,1236.239
19.206,0.014,18.579,0.01,0.627,0.0172,1378.747,1251.481
18.769,0.004,18.174,0.008,0.595,0.0089,1370.35,1361.716
18.933,0.012,18.326,0.003,0.607,0.0124,1371.03,1346.227
18.747,0.017,18.174,0.01,0.573,0.0197,1368.984,1369.218
18.086,0.003,17.527,0.003,0.559,0.0042,1366.902,1750.564
18.289,0.005,17.727,0.003,0.562,0.0058,1387.029,1809.253
17.571,0.004,17.008,0.003,0.563,0.005,1376.015,1813.564
18.946,0.01,18.325,0.01,0.621,0.0141,1373.112,1923.647
16.646,0.0015,15.939,0.0071,0.707,0.0073,1396.34,1402.464
18.613,0.005,18.036,0.007,0.577,0.0086,1393.118,1437.679
18.708,0.007,18.12,0.003,0.588,0.0076,1401.589,1450.242
18.19,0.004,17.632,0.005,0.558,0.0064,1400.933,1699.127
18.854,0.0043,18.266,0.0046,0.588,0.0062,1422.689,1133.335
19.005,0.0046,18.384,0.0048,0.621,0.0066,1432.341,1145.732
17.49,0.005,16.923,0.003,0.567,0.0058,1429.78,1300.783
16.03,0.0049,15.287,0.0053,0.743,0.0072,1434.504,1343.047
19.167,0.015,18.49,0.018,0.677,0.0234,1429.726,1342.248
18.817,0.005,18.228,0.007,0.589,0.0086,1418.049,1480.081
18.937,0.008,18.331,0.004,0.606,0.0089,1418.77,1965.585
17.913,0.001,17.371,0.001,0.542,0.0014,1447.837,1225.166
19.038,0.013,18.428,0.005,0.61,0.0139,1457.897,1310.538
17.971,0.008,17.423,0.005,0.548,0.0094,1442.651,1563.155
18.964,0.004,18.342,0.008,0.622,0.0089,1446.797,1695.966
18.655,0.003,18.077,0.004,0.578,0.005,1462.948,1692.868
18.903,0.004,18.298,0.005,0.605,0.0064,1442.865,1829.992
18.411,0.003,17.838,0.003,0.573,0.0042,1455.249,1956.004
18.596,0.0038,18.008,0.004,0.588,0.0055,1481.75,1110.582
18.264,0.007,17.707,0.002,0.557,0.0073,1470.314,1196.753
19.141,0.004,18.523,0.006,0.618,0.0072,1476.268,1287.696
17.375,0.001,16.794,0.003,0.581,0.0032,1473.147,1299.956
18.79,0.002,18.204,0.006,0.586,0.0063,1480.707,1422.326
19.067,0.018,18.442,0.006,0.625,0.019,1474.477,1507.876
19.114,0.006,18.493,0.012,0.621,0.0134,1471.953,1609.6
18.301,0.012,17.737,0.01,0.564,0.0156,1477.042,1660.176
17.917,0.032,17.379,0.004,0.538,0.0322,1503.553,1264.853
18.356,0.003,17.801,0.005,0.555,0.0058,1495.553,1307.849
17.464,0.006,16.897,0.003,0.567,0.0067,1491.031,1387.283
17.096,0.004,16.439,0.004,0.657,0.0057,1499.925,1381.348
18.861,0.004,18.259,0.003,0.602,0.005,1494.114,1408.311
18.298,0.004,17.748,0.008,0.55,0.0089,1510.034,1393.228
17.851,0.006,17.293,0.005,0.558,0.0078,1490.472,1459.112
17.266,0.004,16.658,0.005,0.608,0.0064,1490.321,1943.051
18.257,0.006,17.697,0.005,0.56,0.0078,1505.698,1969.501
18.417,0.005,17.851,0.007,0.566,0.0086,1517.951,1188.933
19.117,0.016,18.499,0.011,0.618,0.0194,1532.868,1239.691
18.867,0.007,18.265,0.005,0.602,0.0086,1536.139,1401.104
17.311,0.001,16.717,0.004,0.594,0.0041,1523.847,1494.999
19.257,0.021,18.622,0.008,0.635,0.0225,1543.867,1203.793
18.277,0.005,17.719,0.007,0.558,0.0086,1545.734,1350.075
19.277,0.006,18.642,0.002,0.635,0.0063,1559.502,1420.51
18.524,0.005,17.959,0.001,0.565,0.0051,1559.567,1514.96
18.023,0.01,17.472,0.003,0.551,0.0104,1551.259,1745.15
18.942,0.004,18.335,0.005,0.607,0.0064,1557.424,1786.072
18.759,0.0041,18.18,0.0044,0.579,0.006,1577.462,1097.878
16.588,0.0064,15.864,0.0069,0.724,0.0094,1566.56,1355.349
17.466,0.003,16.899,0.003,0.567,0.0042,1573.578,1363.445
19.117,0.008,18.498,0.012,0.619,0.0144,1580.789,1442.895
18.585,0.005,18.007,0.006,0.578,0.0078,1576.692,1476.694
18.403,0.004,17.837,0.006,0.566,0.0072,1586.692,1616.671
17.854,0.007,17.274,0.003,0.58,0.0076,1580.356,1653.128
18.206,0.005,17.65,0.004,0.556,0.0064,1563.114,1878.54
18.205,0.001,17.628,0.006,0.577,0.0061,1579.99,1914.999
19.016,0.0046,18.41,0.0049,0.606,0.0067,1612.482,1098.543
17.252,0.004,16.647,0.003,0.605,0.005,1608.655,1464.817
18.816,0.007,18.189,0.006,0.627,0.0092,1596.815,1795.879
18.545,0.004,17.969,0.003,0.576,0.005,1594.197,1832.828
18.715,0.007,18.132,0.004,0.583,0.0081,1590.207,1880.477
18.359,0.0034,17.796,0.0037,0.563,0.005,1614.788,1105.748
17.539,0.002,16.981,0.008,0.558,0.0082,1616.581,1193.624
18.58,0.011,17.998,0.008,0.582,0.0136,1635.162,1326.919
18.334,0.004,17.77,0.004,0.564,0.0057,1635.327,1438.69
17.723,0.005,17.169,0.004,0.554,0.0064,1616.82,1483.91
15.638,0.0041,14.875,0.0044,0.763,0.006,1635.949,1584.306
18.824,0.009,18.231,0.006,0.593,0.0108,1625.012,1814.449
18.015,0.002,17.457,0.004,0.558,0.0045,1632.103,1829.322
18.39,0.005,17.822,0.012,0.568,0.013,1616.632,1872.203
19.135,0.007,18.511,0.004,0.624,0.0081,1631.963,1878.615
18.886,0.003,18.295,0.005,0.591,0.0058,1627.542,1956.283
18.872,0.0043,18.276,0.0046,0.596,0.0063,1662.848,1118.368
17.906,0.012,17.366,0.014,0.54,0.0184,1654.711,1188.9
16.638,0.0065,15.924,0.001,0.714,0.0066,1646.685,1291.524
19.166,0.002,18.548,0.004,0.618,0.0045,1643.282,1380.426
18.295,0.004,17.736,0.006,0.559,0.0072,1653.16,1666.019
18.897,0.004,18.301,0.005,0.596,0.0064,1653.918,1840.873
18.738,0.005,18.147,0.008,0.591,0.0094,1659.221,1955.219
18.048,0.006,17.498,0.005,0.55,0.0078,1652.949,1984.754
17.384,0.001,16.8,0.004,0.584,0.0041,1673.348,1375.22
18.455,0.006,17.863,0.004,0.592,0.0072,1676.164,1413.283
17.013,0.002,16.338,0.004,0.675,0.0045,1669.263,1446.652
17.826,0.005,17.282,0.004,0.544,0.0064,1683.096,1455.352
17.888,0.004,17.345,0.005,0.543,0.0064,1681.541,1468.177
19.229,0.005,18.605,0.008,0.624,0.0094,1679.994,1501.713
18.818,0.009,18.221,0.011,0.597,0.0142,1674.253,1531.629
18.43,0.004,17.864,0.003,0.566,0.005,1665.033,1578.701
18.186,0.007,17.623,0.002,0.563,0.0073,1682.824,1679.982
17.83,0.004,17.278,0.005,0.552,0.0064,1707.828,1291.509
17.928,0.006,17.37,0.012,0.558,0.0134,1706.224,1632.341
19.099,0.007,18.487,0.005,0.612,0.0086,1690.729,1788.975
