id x y Vvega err VIvega err Ivega err Vground Iground Nv  Ni wV wI xsig ysig othv othi qfitV qfitI RA Dec               
                                                                                                                        
                                                                                                                        
    69 3317.713  672.314   21.416   0.0059    0.335   0.0095   21.081   0.0075   21.465   21.038  1  1  1  1  0.010  0.050  0.000  0.000  0.207  0.048   182.5212529    18.5098377
    70 3324.077  758.127   19.950   0.0010    0.465   0.0150   19.485   0.0150   20.056   19.442  2  2  1  1  0.002  0.003  0.000  0.000  0.030  0.028   182.5211596    18.5110295
    71 3335.163  827.618   25.975   0.3140    1.242   0.3140   24.733   0.0050   26.339   24.710  3  2  1  1  0.019  0.046  0.000  0.000  0.405  0.365   182.5209973    18.5119947
    72 3341.969  808.731   28.448   0.3960    1.101   0.4282   27.347   0.1630   28.773   27.319  2  1  1  1  0.061  0.310  0.000  0.000  1.068  1.409   182.5208976    18.5117323
    73 3346.609  790.916   26.670   0.2130    0.087   0.2375   26.583   0.1051   26.663   26.542  2  1  1  1  0.065  0.002  0.000  0.000  1.222  0.806   182.5208296    18.5114849
    74 3341.639  915.240   24.051   0.0570    0.823   0.0785   23.228   0.0540   24.290   23.191  4  4  1  1  0.010  0.002  0.000  0.000  0.087  0.099   182.5209024    18.5132116
    75 3387.594  869.151   25.669   0.2960    1.057   0.3106   24.612   0.0940   25.981   24.582  2  3  1  1  0.009  0.022  0.000  0.000  0.255  0.246   182.5202294    18.5125715
    76 3362.976  980.539   27.948   2.6170    1.164   2.6196   26.784   0.1178   28.291   26.758  2  1  1  1  0.052  0.081  0.000  0.000  1.128  0.976   182.5205898    18.5141186
    77 3402.238  781.130   26.927   0.0807    0.060   0.1474   26.867   0.1234   26.916   26.823  1  1  1  1  0.400  0.210  0.000  0.000  1.211  1.219   182.5200148    18.5113490
    78 3406.624  874.322   26.602   1.4840    1.619   1.4847   24.983   0.0469   27.055   24.978  2  1  1  1  0.044  0.069  0.000  0.000  0.395  0.354   182.5199506    18.5126433
    79 3461.709  767.339   24.782   0.0150    1.038   0.0667   23.744   0.0650   25.088   23.713  2  2  1  1  0.007  0.011  0.000  0.000  0.134  0.117   182.5191438    18.5111574
    80 3459.762  841.143   21.056   0.0000    0.464   0.0290   20.592   0.0290   21.161   20.549  2  3  1  1  0.004  0.004  0.000  0.000  0.025  0.039   182.5191723    18.5121825
    81 3470.578  637.819   22.368   0.0091    0.565   0.0139   21.803   0.0105   22.513   21.761  1  1  1  1  0.000  0.014  0.000  0.000  0.048  0.058   182.5190139    18.5093585
    82 3486.701  702.563   25.181   0.1510    1.066   0.2266   24.115   0.1690   25.496   24.085  2  2  1  1  0.017  0.002  0.000  0.000  0.188  0.207   182.5187778    18.5102577
    83 3462.433  865.726   27.257   0.0961    0.285   0.7611   26.972   0.7550   27.299   26.929  1  2  1  1  0.404  0.227  0.000  0.000  2.013  1.159   182.5191332    18.5125239
    84 3468.535  929.055   27.776   0.1296    0.161   0.7739   27.615   0.7630   27.786   27.572  1  2  1  1  0.045  0.265  0.000  0.000  1.091  1.169   182.5190438    18.5134035
    85 3511.157  628.094   23.627   0.0162    0.816   0.0233   22.811   0.0167   23.865   22.773  1  1  1  1  0.015  0.007  0.000  0.000  0.062  0.075   182.5184196    18.5092234
    86 3504.252  760.648   24.824   0.0220    1.127   0.0388   23.697   0.0320   25.156   23.670  2  2  1  1  0.003  0.032  0.000  0.000  0.173  0.186   182.5185207    18.5110644
    87 3523.067  786.242   28.863   0.2620    2.409   0.2792   26.454   0.0965   29.445   26.503  1  1  1  1  0.157  0.611  0.000  0.000  1.096  1.152   182.5182451    18.5114199
    88 3579.746  876.477   21.225   0.0080    0.466   0.0100   20.759   0.0060   21.331   20.716  4  4  1  1  0.005  0.000  0.000  0.000  0.025  0.027   182.5174148    18.5126731
    89 3583.010  886.931   24.346   0.0210    0.985   0.0391   23.361   0.0330   24.636   23.328  3  3  1  1  0.002  0.013  0.033  0.020  0.110  0.131   182.5173671    18.5128183
