,v,v_err,i,i_err,vi,vi_err,x,y
4498,20.621,0.006,20.181,0.004,0.4489864463290211,0.0072,2569.534,3106.98
4499,21.732,0.017,21.209,0.022,0.5317525027058068,0.0278,2568.286,3122.162
4501,20.191,0.007,19.75,0.006,0.44758554156288066,0.0092,2566.02,3182.948
4504,20.989,0.01,20.529,0.007,0.46558907786918224,0.0122,2566.144,3209.425
4505,21.535,0.007,21.03,0.012,0.5105890778691822,0.0139,2566.877,3213.113
4508,21.128,0.01,20.649,0.024,0.4824805107967609,0.026,2563.91,3270.206
4511,19.727,0.006,19.226,0.006,0.5029500141407676,0.0085,2578.189,3336.33
4514,20.911,0.008,20.451,0.01,0.4625623891820676,0.0128,2567.266,3373.635
4515,20.311,0.006,19.875,0.008,0.4385623891820676,0.01,2572.907,3371.254
4516,20.811,0.006,20.365,0.011,0.44843354666636215,0.0125,2569.793,3405.492
4517,19.885,0.003,19.419,0.007,0.4663672705850365,0.0076,2584.535,3398.968
4519,20.016,0.005,19.571,0.008,0.44775681201052264,0.0094,2565.773,3413.776
4520,21.702,0.012,21.168,0.015,0.5373203424544426,0.0192,2566.038,3419.587
4521,20.538,0.015,20.097,0.007,0.44343354666636214,0.0166,2579.506,3432.418
4524,20.473,0.001,20.031,0.009,0.4434984459395989,0.0091,2563.978,3506.294
4526,21.062,0.007,20.585,0.009,0.4778626828978684,0.0114,2583.985,3534.367
4531,21.688,0.01,21.187,0.013,0.4975334291950867,0.0164,2571.401,3670.429
4533,20.861,0.012,20.4,0.012,0.45906458481778856,0.017,2586.982,3708.892
4535,21.354,0.006,20.871,0.014,0.481696719255706,0.0152,2582.662,3744.11
4538,20.027,0.008,19.588,0.005,0.4501954941394025,0.0094,2592.167,3010.955
4540,21.481,0.039,21.02,0.006,0.47256817077850954,0.0395,2596.922,3005.391
4542,19.634,0.004,19.111,0.007,0.5331763972497441,0.0081,2590.109,3056.93
4543,20.43,0.009,19.996,0.013,0.44480775697652114,0.0158,2591.321,3038.969
4544,19.852,0.003,19.403,0.008,0.4601082364448251,0.0085,2606.574,3048.315
4548,21.66,0.007,21.148,0.004,0.5170574052262472,0.0081,2611.145,3131.799
4550,21.431,0.005,20.935,0.016,0.5007121431799904,0.0168,2612.81,3151.402
4551,21.287,0.004,20.814,0.011,0.4776188602794266,0.0117,2598.148,3183.962
4555,21.481,0.004,20.983,0.016,0.5026188602794266,0.0165,2588.011,3213.405
4557,20.042,0.005,19.593,0.003,0.4524916652554432,0.0058,2608.909,3238.442
4560,21.642,0.019,21.131,0.004,0.5132195643971463,0.0194,2602.531,3300.68
4561,20.423,0.004,19.977,0.009,0.44821956439714633,0.0098,2608.393,3302.768
4562,18.573,0.003,17.943,0.005,0.6322195643971463,0.0058,2593.191,3324.886
4565,21.127,0.005,20.644,0.01,0.486116634499254,0.0112,2603.784,3357.594
4566,20.756,0.009,20.299,0.01,0.46011663449925405,0.0135,2606.423,3354.225
4568,20.616,0.013,20.182,0.007,0.43711663449925403,0.0148,2604.546,3382.942
