,v,v_err,i,i_err,vi,vi_err,x,y
579,20.622,0.01,20.025,0.016,0.597,0.0189,4159.528,976.872
580,20.342,0.006,19.797,0.0065,0.545,0.0089,4182.556,505.875
581,20.467,0.0063,19.924,0.0069,0.543,0.0094,4179.777,563.896
585,19.935,0.001,19.416,0.01,0.519,0.01,4185.032,659.774
590,20.296,0.004,19.743,0.007,0.553,0.0081,4186.824,901.435
593,19.848,0.006,19.331,0.006,0.517,0.0085,4165.79,971.677
594,19.244,0.01,18.755,0.005,0.489,0.0112,4169.323,963.772
596,18.658,0.0028,18.132,0.001,0.526,0.0029,4203.886,628.236
598,19.536,0.008,19.032,0.006,0.504,0.01,4193.621,700.275
600,18.921,0.003,18.422,0.007,0.499,0.0076,4207.415,756.449
601,20.386,0.014,19.859,0.014,0.527,0.0198,4204.517,776.124
606,18.942,0.015,18.428,0.021,0.514,0.0258,4192.063,950.659
614,19.798,0.003,19.286,0.008,0.512,0.0085,4217.162,746.451
615,20.232,0.007,19.697,0.008,0.535,0.0106,4225.462,767.672
618,19.597,0.005,19.09,0.006,0.507,0.0078,4222.33,982.667
622,20.463,0.009,19.914,0.013,0.549,0.0158,4262.453,612.527
631,19.788,0.009,19.269,0.009,0.519,0.0127,4246.334,915.233
634,19.388,0.0039,18.895,0.0043,0.493,0.0058,4274.395,515.291
636,20.581,0.004,20.013,0.006,0.568,0.0072,4284.867,633.487
637,19.815,0.01,19.304,0.009,0.511,0.0135,4266.576,677.616
638,19.078,0.007,18.588,0.009,0.49,0.0114,4271.754,697.613
639,20.585,0.003,20.026,0.014,0.559,0.0143,4277.547,718.129
641,20.264,0.017,19.719,0.006,0.545,0.018,4279.92,817.261
642,20.445,0.01,19.883,0.007,0.562,0.0122,4277.813,882.953
645,17.572,0.0017,16.896,0.0017,0.676,0.0024,4296.942,489.865
648,20.596,0.008,20.029,0.021,0.567,0.0225,4305.938,658.108
649,20.047,0.002,19.528,0.009,0.519,0.0092,4299.468,667.149
652,19.815,0.004,19.307,0.009,0.508,0.0098,4294.12,762.23
653,19.99,0.006,19.465,0.009,0.525,0.0108,4305.465,745.127
655,20.26,0.014,19.706,0.008,0.554,0.0161,4288.179,812.037
658,20.611,0.009,20.022,0.006,0.589,0.0108,4301.654,914.259
659,20.1,0.01,19.539,0.011,0.561,0.0149,4298.197,950.732
660,19.194,0.004,18.704,0.002,0.49,0.0045,4291.718,977.984
667,19.904,0.004,19.39,0.003,0.514,0.005,4322.44,847.049
672,20.555,0.012,19.995,0.007,0.56,0.0139,4357.896,758.434
674,18.55,0.011,18.0,0.008,0.55,0.0136,4341.2,815.279
675,20.544,0.01,19.984,0.01,0.56,0.0141,4344.078,836.636
676,20.329,0.013,19.777,0.008,0.552,0.0153,4345.108,817.377
678,20.332,0.043,19.795,0.035,0.537,0.0554,4342.209,814.092
680,20.562,0.011,19.993,0.007,0.569,0.013,4348.354,925.466
685,19.724,0.009,19.221,0.055,0.503,0.0557,4384.986,637.192
686,20.017,0.003,19.495,0.004,0.522,0.005,4377.891,683.796
688,19.33,0.012,18.842,0.012,0.488,0.017,4367.257,716.703
690,20.242,0.01,19.719,0.013,0.523,0.0164,4375.37,782.81
691,20.567,0.007,19.989,0.012,0.578,0.0139,4384.805,901.453
695,19.924,0.0049,19.424,0.0055,0.5,0.0074,4408.276,498.513
700,20.631,0.008,20.044,0.016,0.587,0.0179,4388.795,634.115
703,20.151,0.008,19.62,0.008,0.531,0.0113,4394.823,920.937
708,19.886,0.03,19.395,0.003,0.491,0.0301,4435.341,599.539
710,19.063,0.009,18.559,0.006,0.504,0.0108,4434.162,678.354
712,20.348,0.011,19.801,0.014,0.547,0.0178,4417.985,715.782
714,19.958,0.009,19.439,0.009,0.519,0.0127,4436.144,768.72
715,20.044,0.012,19.52,0.015,0.524,0.0192,4433.601,797.604
716,20.38,0.011,19.82,0.004,0.56,0.0117,4435.625,793.749
717,20.588,0.014,20.011,0.002,0.577,0.0141,4422.807,848.55
721,19.478,0.005,18.977,0.005,0.501,0.0071,4423.231,936.97
722,18.045,0.005,17.386,0.003,0.659,0.0058,4420.685,986.658
723,20.459,0.014,19.893,0.002,0.566,0.0141,4439.034,516.618
726,20.631,0.01,20.048,0.003,0.583,0.0104,4451.503,608.959
729,19.633,0.01,19.105,0.003,0.528,0.0104,4453.048,758.291
731,17.523,0.01,16.844,0.008,0.679,0.0128,4452.014,885.099
733,19.597,0.02,19.091,0.01,0.506,0.0224,4442.087,876.584
740,19.868,0.014,19.349,0.017,0.519,0.022,4477.452,554.806
744,19.634,0.008,19.131,0.009,0.503,0.012,4469.391,822.056
746,19.796,0.015,19.285,0.009,0.511,0.0175,4471.021,901.282
747,19.93,0.0,19.404,0.003,0.526,0.003,4477.717,932.712
748,19.479,0.017,18.997,0.02,0.482,0.0262,4506.578,525.78
749,20.638,0.0068,20.048,0.042,0.59,0.0426,4490.854,569.998
751,17.899,0.007,17.232,0.012,0.667,0.0139,4496.716,602.581
752,19.232,0.004,18.735,0.034,0.497,0.0342,4489.842,681.726
753,19.856,0.009,19.342,0.007,0.514,0.0114,4491.793,698.271
755,18.88,0.014,18.375,0.017,0.505,0.022,4505.11,731.048
760,19.093,0.004,18.588,0.006,0.505,0.0072,4497.041,963.644
761,19.266,0.0036,18.778,0.004,0.488,0.0054,4532.588,505.834
764,20.006,0.007,19.495,0.016,0.511,0.0175,4524.262,610.839
769,20.033,0.017,19.515,0.005,0.518,0.0177,4532.958,838.823
770,20.437,0.037,19.838,0.03,0.599,0.0476,4517.201,870.939
773,20.544,0.004,19.98,0.012,0.564,0.0126,4529.027,970.764
776,18.359,0.006,17.726,0.02,0.633,0.0209,4540.719,721.65
778,20.418,0.023,19.901,0.023,0.517,0.0325,4542.686,719.19
780,20.066,0.022,19.527,0.013,0.539,0.0256,4556.163,934.394
781,19.713,0.017,19.145,0.016,0.568,0.0233,4549.398,962.79
782,20.285,0.029,19.725,0.021,0.56,0.0358,4554.488,938.202
784,19.779,0.0046,19.291,0.0051,0.488,0.0069,4582.875,531.423
788,20.236,0.027,19.705,0.0062,0.531,0.0277,4580.959,754.159
789,19.806,0.006,19.305,0.006,0.501,0.0085,4581.783,867.357
790,19.364,0.018,18.848,0.002,0.516,0.0181,4578.125,893.573
791,20.406,0.031,19.834,0.012,0.572,0.0332,4584.767,969.396
793,19.766,0.014,19.281,0.008,0.485,0.0161,4598.523,574.114
798,20.542,0.011,19.954,0.001,0.588,0.011,4594.891,911.508
801,20.085,0.01,19.561,0.008,0.524,0.0128,4589.619,981.713
802,18.771,0.0029,18.278,0.0032,0.493,0.0043,4616.965,593.683
803,20.447,0.004,19.919,0.013,0.528,0.0136,4623.642,667.218
804,19.435,0.015,18.943,0.015,0.492,0.0212,4631.899,732.417
809,19.854,0.018,19.34,0.012,0.514,0.0216,4632.278,890.186
810,19.926,0.009,19.395,0.013,0.531,0.0158,4621.632,935.914
813,19.366,0.0038,18.874,0.0042,0.492,0.0057,4661.852,570.968
815,19.96,0.028,19.436,0.021,0.524,0.035,4646.788,736.245
818,19.557,0.021,19.071,0.025,0.486,0.0326,4651.98,836.996
820,18.209,0.006,17.586,0.003,0.623,0.0067,4662.305,853.741
821,19.89,0.008,19.377,0.001,0.513,0.0081,4652.855,867.552
822,20.553,0.009,19.983,0.0,0.57,0.009,4643.685,925.883
824,20.587,0.0067,20.038,0.0072,0.549,0.0098,4669.995,544.329
826,20.471,0.0063,19.946,0.0069,0.525,0.0094,4679.507,543.397
833,19.187,0.007,18.722,0.002,0.465,0.0073,4680.264,871.567
835,20.124,0.018,19.538,0.038,0.586,0.042,4670.684,957.117
836,20.212,0.0056,19.676,0.026,0.536,0.0266,4683.093,944.502
837,17.977,0.013,17.327,0.024,0.65,0.0273,4707.504,677.198
839,19.824,0.012,19.325,0.001,0.499,0.012,4695.918,691.822
842,20.278,0.008,19.703,0.0062,0.575,0.0101,4702.592,889.252
843,20.506,0.012,19.962,0.023,0.544,0.0259,4710.681,959.772
846,20.536,0.013,19.957,0.054,0.579,0.0555,4724.279,785.069
852,19.804,0.035,19.303,0.037,0.501,0.0509,4732.7,856.697
857,20.552,0.0066,19.987,0.0071,0.565,0.0096,4739.973,849.261
862,20.149,0.0054,19.629,0.006,0.52,0.0081,4773.147,960.497
865,20.435,0.0062,19.903,0.0068,0.532,0.0092,4794.541,966.591
871,18.792,0.0029,18.276,0.0032,0.516,0.0043,4839.52,975.123
873,20.029,0.0054,19.483,0.0059,0.546,0.008,500.751,1465.682
874,20.043,0.0054,19.486,0.0059,0.557,0.008,503.728,1543.416
875,19.223,0.0037,18.71,0.0041,0.513,0.0056,525.49,1493.921
877,20.026,0.0054,19.468,0.0058,0.558,0.008,554.553,1449.869
879,19.256,0.0038,18.744,0.0042,0.512,0.0056,555.456,1704.495
881,20.59,0.007,20.012,0.0075,0.578,0.0102,559.706,1773.227
882,20.613,0.0071,20.029,0.0076,0.584,0.0104,580.418,1467.61
883,20.368,0.0063,19.806,0.0068,0.562,0.0093,577.442,1505.053
890,20.102,0.0056,19.566,0.0061,0.536,0.0083,564.945,1838.071
892,20.579,0.0069,19.986,0.0074,0.593,0.0101,566.52,1867.076
893,19.14,0.004,18.632,0.009,0.508,0.0098,596.805,1509.438
895,19.815,0.0049,19.266,0.0053,0.549,0.0072,600.283,1825.046
896,19.312,0.0039,18.804,0.0043,0.508,0.0058,600.982,1847.171
898,20.408,0.0064,19.835,0.0069,0.573,0.0094,589.103,1965.167
899,20.152,0.0057,19.569,0.0061,0.583,0.0083,601.041,1982.019
902,20.019,0.0054,19.426,0.0057,0.593,0.0079,635.917,1473.6
906,18.836,0.0031,18.326,0.0034,0.51,0.0046,633.148,1728.44
910,19.181,0.0036,18.682,0.0041,0.499,0.0054,629.407,1926.906
912,19.587,0.0044,19.064,0.0048,0.523,0.0065,631.438,1975.473
915,16.683,0.0034,15.963,0.0037,0.72,0.005,642.794,1450.7
918,19.656,0.005,19.136,0.001,0.52,0.0051,642.961,1659.907
919,19.876,0.013,19.356,0.005,0.52,0.0139,638.811,1744.959
922,19.345,0.0039,18.836,0.0044,0.509,0.0059,646.925,1831.466
924,19.106,0.0035,18.599,0.0039,0.507,0.0053,655.565,1954.503
925,20.267,0.006,19.736,0.0066,0.531,0.0089,652.734,1952.38
927,18.542,0.011,17.966,0.006,0.576,0.0125,667.256,1655.493
928,19.784,0.0048,19.256,0.0053,0.528,0.0072,674.256,1644.238
930,20.323,0.006,19.759,0.004,0.564,0.0072,671.86,1676.68
932,18.968,0.062,18.481,0.066,0.487,0.0906,683.575,1792.718
934,19.841,0.005,19.303,0.022,0.538,0.0226,673.976,1839.885
935,20.029,0.004,19.446,0.028,0.583,0.0283,673.376,1946.632
941,19.734,0.001,19.211,0.024,0.523,0.024,694.348,1725.999
945,18.714,0.012,18.192,0.007,0.522,0.0139,702.927,1945.74
948,19.944,0.03,19.403,0.019,0.541,0.0355,725.083,1459.609
949,20.484,0.115,19.99,0.047,0.494,0.1242,735.423,1464.521
953,20.053,0.009,19.511,0.007,0.542,0.0114,724.517,1583.244
956,19.465,0.01,18.96,0.004,0.505,0.0108,722.28,1676.828
959,19.184,0.007,18.682,0.01,0.502,0.0122,727.945,1719.936
964,19.542,0.0,19.005,0.015,0.537,0.015,717.235,1972.814
965,17.934,0.003,17.256,0.006,0.678,0.0067,725.393,1974.929
966,20.393,0.004,19.833,0.005,0.56,0.0064,734.769,1983.029
967,19.815,0.007,19.279,0.018,0.536,0.0193,755.177,1538.807
968,20.358,0.009,19.781,0.008,0.577,0.012,741.297,1608.522
971,20.208,0.006,19.657,0.006,0.551,0.0085,745.791,1693.882
973,18.124,0.007,17.463,0.002,0.661,0.0073,753.17,1789.4
975,19.574,0.036,19.069,0.004,0.505,0.0362,754.559,1845.752
976,19.782,0.002,19.252,0.0053,0.53,0.0056,762.96,1858.346
978,20.576,0.002,20.008,0.025,0.568,0.0251,757.564,1927.613
979,20.093,0.016,19.542,0.012,0.551,0.02,738.034,1952.434
982,18.696,0.0029,18.12,0.0031,0.576,0.0043,780.977,1364.646
985,20.348,0.018,19.787,0.01,0.561,0.0206,778.394,1700.765
986,19.068,0.003,18.564,0.003,0.504,0.0042,771.533,1755.574
987,19.268,0.008,18.772,0.004,0.496,0.0089,784.231,1748.21
989,20.265,0.004,19.719,0.004,0.546,0.0057,785.11,1803.536
990,20.511,0.012,19.943,0.009,0.568,0.015,783.86,1840.459
991,20.439,0.016,19.867,0.005,0.572,0.0168,763.043,1899.663
996,19.099,0.006,18.59,0.007,0.509,0.0092,768.276,1919.704
999,19.824,0.0049,19.284,0.0054,0.54,0.0073,799.963,1408.153
