v,v_err,i,i_err,vi,vi_err,x,y
18.048,0.011,17.338,0.013,0.71,0.017,1995.732,1295.33
16.817,0.018,16.187,0.007,0.63,0.0193,2006.688,1959.83
17.465,0.013,16.774,0.011,0.691,0.017,2006.905,1965.091
16.491,0.006,15.896,0.003,0.595,0.0067,2014.062,1269.137
17.637,0.013,16.971,0.006,0.666,0.0143,2016.767,1277.875
16.766,0.003,16.15,0.005,0.616,0.0058,2021.223,1473.288
17.46,0.005,16.8,0.011,0.66,0.0121,2021.168,1703.504
18.205,0.016,17.456,0.009,0.749,0.0184,2021.842,1727.884
17.809,0.007,17.103,0.009,0.706,0.0114,2026.878,1830.104
15.276,0.004,14.504,0.002,0.772,0.0045,2036.887,1837.913
17.622,0.011,16.939,0.004,0.683,0.0117,2050.562,1472.537
18.02,0.013,17.3,0.011,0.72,0.017,2038.651,1584.726
13.843,0.0036,13.047,0.0037,0.796,0.0051,2041.961,1666.111
16.237,0.007,15.63,0.007,0.607,0.0099,2038.581,1695.668
17.772,0.004,17.093,0.001,0.679,0.0041,2075.019,1250.972
17.525,0.011,16.862,0.012,0.663,0.0163,2072.083,1406.147
17.414,0.007,16.753,0.009,0.661,0.0114,2078.61,1764.211
16.708,0.008,16.103,0.007,0.605,0.0106,2083.98,1936.799
17.281,0.003,16.635,0.007,0.646,0.0076,2084.092,1948.405
17.943,0.006,17.268,0.0066,0.675,0.0089,2089.593,1087.794
17.043,0.01,16.417,0.003,0.626,0.0104,2095.802,1273.214
16.685,0.005,16.077,0.003,0.608,0.0058,2103.397,1334.439
17.977,0.0061,17.285,0.0067,0.692,0.009,2127.548,1003.37
17.521,0.009,16.873,0.004,0.648,0.0098,2125.895,1125.085
17.883,0.014,17.201,0.033,0.682,0.0358,2119.271,1148.197
17.961,0.008,17.268,0.003,0.693,0.0085,2134.048,1151.317
15.837,0.007,15.191,0.004,0.646,0.0081,2128.879,1324.474
18.239,0.01,17.486,0.01,0.753,0.0141,2113.986,1620.982
17.62,0.0052,16.954,0.0057,0.666,0.0077,2143.987,1013.231
18.152,0.013,17.417,0.006,0.735,0.0143,2151.553,1514.65
15.864,0.009,15.212,0.006,0.652,0.0108,2162.303,1827.618
17.969,0.006,17.254,0.011,0.715,0.0125,2153.932,1868.155
17.373,0.003,16.713,0.004,0.66,0.005,2139.84,1934.367
15.546,0.01,14.814,0.004,0.732,0.0108,2145.627,1977.114
15.851,0.008,15.208,0.006,0.643,0.01,2166.44,1395.802
17.99,0.008,17.269,0.005,0.721,0.0094,2182.898,1516.141
17.143,0.005,16.508,0.008,0.635,0.0094,2179.879,1719.961
16.183,0.006,15.568,0.004,0.615,0.0072,2169.638,1791.9
15.169,0.0016,14.407,0.004,0.762,0.0043,2166.962,1921.94
17.02,0.0039,16.412,0.0044,0.608,0.0059,2188.588,1043.501
16.278,0.011,15.66,0.004,0.618,0.0117,2200.791,1753.312
17.131,0.009,16.493,0.009,0.638,0.0127,2206.175,1867.01
17.806,0.026,17.113,0.006,0.693,0.0267,2213.663,1121.253
17.713,0.008,17.038,0.01,0.675,0.0128,2235.52,1451.97
18.083,0.009,17.352,0.01,0.731,0.0135,2216.58,1694.496
16.67,0.015,16.02,0.009,0.65,0.0175,2224.874,1739.805
16.841,0.01,16.22,0.007,0.621,0.0122,2232.546,1762.262
16.388,0.009,15.779,0.006,0.609,0.0108,2221.353,1781.645
18.185,0.004,17.468,0.002,0.717,0.0045,2229.263,1810.418
16.732,0.007,16.111,0.002,0.621,0.0073,2213.309,1826.68
17.459,0.007,16.807,0.003,0.652,0.0076,2244.375,1514.521
17.992,0.01,17.267,0.006,0.725,0.0117,2254.508,1805.288
16.32,0.01,15.71,0.003,0.61,0.0104,2241.811,1912.335
17.273,0.0044,16.622,0.0049,0.651,0.0066,2274.729,989.54
17.353,0.0046,16.701,0.0051,0.652,0.0068,2274.679,1009.58
18.223,0.008,17.501,0.011,0.722,0.0136,2275.097,1188.523
16.074,0.007,15.461,0.007,0.613,0.0099,2281.686,1338.743
16.822,0.006,16.203,0.004,0.619,0.0072,2278.9,1409.432
17.621,0.012,16.936,0.004,0.685,0.0126,2264.612,1878.692
17.382,0.0046,16.739,0.0052,0.643,0.0069,2293.383,992.347
17.191,0.006,16.557,0.003,0.634,0.0067,2302.565,1451.708
15.96,0.006,15.309,0.003,0.651,0.0067,2289.657,1777.942
16.6,0.006,15.975,0.008,0.625,0.01,2288.569,1918.693
17.404,0.0,16.754,0.003,0.65,0.003,2318.581,1057.437
17.234,0.004,16.587,0.006,0.647,0.0072,2324.357,1428.125
16.254,0.005,15.63,0.004,0.624,0.0064,2336.724,1759.046
16.758,0.009,16.123,0.005,0.635,0.0103,2330.601,1781.844
16.357,0.009,15.735,0.004,0.622,0.0098,2336.097,1803.587
17.443,0.012,16.792,0.006,0.651,0.0134,2350.653,1200.675
16.625,0.008,16.031,0.013,0.594,0.0153,2360.282,1274.602
17.583,0.008,16.908,0.012,0.675,0.0144,2348.748,1462.146
16.754,0.005,16.146,0.008,0.608,0.0094,2383.978,1064.523
17.958,0.011,17.262,0.015,0.696,0.0186,2378.282,1323.538
17.242,0.009,16.604,0.006,0.638,0.0108,2371.565,1452.945
17.548,0.009,16.874,0.009,0.674,0.0127,2365.58,1965.295
18.067,0.006,17.349,0.007,0.718,0.0092,2407.771,1120.828
18.068,0.009,17.339,0.003,0.729,0.0095,2388.273,1520.335
16.819,0.008,16.193,0.007,0.626,0.0106,2394.303,1770.307
