,v,v_err,i,i_err,vi,vi_err,x,y
537,17.882,0.007,17.357,0.002,0.525,0.0073,3510.112,978.732
538,18.082,0.0033,17.547,0.0038,0.535,0.0051,3520.256,704.573
540,18.918,0.0048,18.267,0.0054,0.651,0.0072,3513.824,749.84
541,18.501,0.004,17.932,0.0046,0.569,0.0061,3516.447,762.938
542,18.072,0.0033,17.548,0.0039,0.524,0.0051,3521.903,742.207
543,19.01,0.014,18.395,0.013,0.615,0.0191,3520.633,784.0
545,18.838,0.027,18.279,0.022,0.559,0.0348,3518.67,811.873
546,18.616,0.035,18.043,0.005,0.573,0.0354,3520.63,796.056
548,18.115,0.004,17.582,0.032,0.533,0.0322,3529.003,789.139
551,17.96,0.012,17.436,0.004,0.524,0.0126,3528.381,841.441
553,18.376,0.005,17.828,0.016,0.548,0.0168,3520.411,867.878
554,17.013,0.01,16.415,0.015,0.598,0.018,3525.377,866.354
557,18.897,0.014,18.31,0.004,0.587,0.0146,3513.238,932.334
558,16.722,0.008,16.071,0.012,0.651,0.0144,3534.093,952.717
561,18.487,0.018,17.933,0.02,0.554,0.0269,3518.39,981.485
563,18.764,0.0045,18.185,0.0052,0.579,0.0068,3551.843,733.142
564,18.677,0.016,18.097,0.034,0.58,0.0376,3541.645,785.468
565,18.502,0.023,17.937,0.004,0.565,0.0233,3542.851,773.864
566,18.39,0.009,17.847,0.007,0.543,0.0114,3549.739,765.624
567,18.354,0.013,17.817,0.031,0.537,0.0336,3554.159,770.655
568,16.993,0.014,16.408,0.01,0.585,0.0172,3555.028,782.854
571,18.466,0.027,17.913,0.017,0.553,0.0319,3552.667,808.81
575,18.526,0.007,17.967,0.016,0.559,0.0175,3552.237,897.758
577,18.599,0.005,18.034,0.011,0.565,0.0121,3558.464,911.913
579,18.257,0.011,17.713,0.004,0.544,0.0117,3561.967,937.109
580,16.934,0.01,16.311,0.007,0.623,0.0122,3559.421,953.831
582,16.917,0.006,16.298,0.008,0.619,0.01,3543.261,968.651
583,19.001,0.005,18.401,0.0057,0.6,0.0076,3585.686,688.848
585,16.162,0.033,15.519,0.01,0.643,0.0345,3585.224,770.838
586,18.856,0.003,18.271,0.03,0.585,0.0301,3567.349,802.569
587,18.556,0.023,17.985,0.005,0.571,0.0235,3584.79,818.744
589,18.038,0.007,17.504,0.012,0.534,0.0139,3573.58,856.426
590,18.865,0.006,18.239,0.002,0.626,0.0063,3573.349,898.318
591,17.974,0.009,17.446,0.01,0.528,0.0135,3579.188,927.727
595,18.421,0.0038,17.853,0.0044,0.568,0.0059,3605.254,746.181
599,18.378,0.011,17.829,0.012,0.549,0.0163,3604.344,858.191
600,17.665,0.01,17.141,0.009,0.524,0.0135,3594.781,873.876
607,18.384,0.0038,17.838,0.0044,0.546,0.0058,3624.205,686.085
608,18.076,0.0033,17.55,0.0038,0.526,0.005,3628.266,683.935
609,18.491,0.004,17.953,0.0046,0.538,0.0061,3631.792,673.158
610,18.586,0.0041,18.037,0.0048,0.549,0.0063,3637.104,664.733
611,18.774,0.0045,18.19,0.0052,0.584,0.0069,3630.465,670.301
612,17.656,0.0027,17.15,0.0032,0.506,0.0042,3625.138,690.016
613,17.857,0.003,17.334,0.0035,0.523,0.0046,3633.229,701.066
616,18.7,0.012,18.137,0.018,0.563,0.0216,3624.539,769.588
617,16.986,0.02,16.371,0.012,0.615,0.0233,3616.945,800.289
618,17.211,0.013,16.691,0.009,0.52,0.0158,3615.944,827.657
620,18.992,0.014,18.384,0.011,0.608,0.0178,3632.631,939.44
621,18.882,0.006,18.273,0.017,0.609,0.018,3621.472,966.69
622,17.179,0.0022,16.648,0.0025,0.531,0.0033,3662.579,683.675
624,18.54,0.004,17.989,0.0047,0.551,0.0062,3661.975,737.568
634,18.665,0.0043,18.09,0.0049,0.575,0.0065,3682.978,670.671
636,15.815,0.0012,15.148,0.0013,0.667,0.0017,3685.465,733.026
637,18.959,0.012,18.346,0.015,0.613,0.0192,3665.383,789.069
639,18.112,0.019,17.585,0.001,0.527,0.019,3674.965,801.349
640,18.959,0.004,18.364,0.019,0.595,0.0194,3677.436,862.847
641,17.71,0.01,17.203,0.01,0.507,0.0141,3685.713,850.295
644,18.597,0.011,18.03,0.001,0.567,0.011,3668.223,890.093
645,18.279,0.01,17.747,0.005,0.532,0.0112,3681.158,905.741
647,17.228,0.01,16.712,0.007,0.516,0.0122,3680.079,935.629
648,18.538,0.009,17.986,0.007,0.552,0.0114,3676.04,946.451
649,17.767,0.016,17.251,0.009,0.516,0.0184,3675.924,961.378
650,18.846,0.021,18.271,0.011,0.575,0.0237,3674.046,963.703
651,18.835,0.011,18.251,0.008,0.584,0.0136,3674.512,977.02
652,17.121,0.007,16.592,0.004,0.529,0.0081,3677.319,972.889
653,17.327,0.0023,16.82,0.0027,0.507,0.0036,3699.319,726.655
661,17.616,0.011,17.108,0.001,0.508,0.011,3689.276,887.826
662,18.504,0.015,17.955,0.01,0.549,0.018,3696.019,880.723
663,18.69,0.009,18.104,0.007,0.586,0.0114,3697.897,910.575
664,18.383,0.014,17.853,0.006,0.53,0.0152,3695.784,923.077
665,18.728,0.008,18.148,0.011,0.58,0.0136,3703.286,926.959
668,18.919,0.0048,18.364,0.0056,0.555,0.0074,3717.271,644.91
669,18.318,0.0036,17.791,0.0043,0.527,0.0056,3730.425,645.349
673,17.805,0.018,17.289,0.022,0.516,0.0284,3736.745,740.043
674,17.4,0.024,16.88,0.013,0.52,0.0273,3732.157,767.248
675,17.057,0.016,16.507,0.01,0.55,0.0189,3721.384,835.087
676,18.412,0.003,17.871,0.012,0.541,0.0124,3732.027,866.521
